AFS,Gender,MS,Origin,POB,LocLang,IntLang,BornWar,Religion,SecondarySchool,NationalExamGrade,Degree,Specialisation,GradeIT,UniversityType,InstitutionNature,InstitutionLocation,SchoolWar,Fees,Funding,UniversityReliable,UnivPromoteEmploy,Internship,ExperienceYears,SpecialisationCompetence,ITCompetence,GraduateComSkill,PhysicalDisability,PsychoDisability,SleepingTime,Family,Father,Mother,PoliticianFam,AdminstrativeFam,CompanyFam,Relatives,MaritalRequirement,HomePandemic,HomeEpidemic,SchoolPandemic,SchoolEpidemic,Employed
between 27 and 29 years,Male,Married,Mungala,Rural municipality,Two,One,No,Protestant,Latin-Philosophy,Satisfaction (50%-69%),Master,Software engineering,Satisfaction (50%-69%),Private,College,Capital City(Kinshasa),No,Less than $500,Family Finances,Yes,No,Yes,3.0,Average,Mastery,Medium,No,No,Before 10 pm,Medium,No,No,Yes,Yes,Yes,,Nothing,No,No,No,Yes,Yes
between 23 and 25 years,Female,Single,Muluba,Capital City(Kinshasa),Two,One,No,Evangelical,Biochemistry,Satisfaction (50%-69%),Master,Data Science,Satisfaction (50%-69%),Public,University,Capital City(Kinshasa),No,Less than $500,Parents' finances,Yes,No,Yes,1.0,Average,Average,Medium,No,No,Between 10 pm and midnight,Medium,Yes,Yes,Yes,Yes,Yes,Yes,Nothing,Yes,No,Yes,No,No
between 25 and 27 years,Female,Married,Muswahili,Village,Two,Two,Yes,Catholic,Biochemistry,Satisfaction (50%-69%),Master,Information Systems Management,Distinction (70%-79%),Public,College,Town,Yes,Less than $500,Family Finances,No,No,Yes,5.0,Mastery,Average,High,No,No,After midnight,Medium,Yes,No,No,Yes,Yes,No,Single,No,No,Yes,Yes,No
between 21 and 23 years,Male,Single,Mukongo,Capital City(Kinshasa),Two,One,No,Kimbanguist,General Pedagogy,Satisfaction (50%-69%),Bachelor,Business and IT,Satisfaction (50%-69%),Public,University,Capital City(Kinshasa),No,Less than $500,Family Finances,No,No,Yes,2.0,Average,Average,Medium,No,No,After midnight,Medium,Yes,Yes,Yes,Yes,Yes,Yes,Nothing,No,Yes,No,No,Yes
between 23 and 25 years,Male,Single,Muswahili,Capital City(Kinshasa),Four,Two,Yes,Protestant,Math-Physics,Satisfaction (50%-69%),Master,Networking and Telecommunication,Satisfaction (50%-69%),Public,University,Capital City(Kinshasa),No,Less than $500,Parents' finances,No,No,No,5.0,Average,Mastery,High,No,No,Between 10 pm and midnight,Medium,Yes,No,Yes,Yes,Yes,No,Nothing,No,No,No,No,Yes
between 21 and 23 years,Male,Single,Muswahili,Town,One,Two,Yes,Protestant,Commerce,Satisfaction (50%-69%),Bachelor,Computer Engineering,Satisfaction (50%-69%),Public,University,Town,No,Less than $500,Parents' finances,Yes,No,No,3.0,Average,Average,Medium,No,No,Between 10 pm and midnight,Medium,Yes,Yes,Yes,Yes,Yes,Yes,Nothing,Yes,Yes,No,Yes,No
between 25 and 27 years,Male,Single,Muluba,Town,One,One,No,Evangelical,Math-Physics,Satisfaction (50%-69%),Master,Computer Engineering,Satisfaction (50%-69%),Public,University,Capital City(Kinshasa),No,Less than $500,Parents' finances,No,No,No,5.0,Mastery,Mastery,High,No,No,Between 10 pm and midnight,Medium,Yes,Yes,No,Yes,Yes,No,Nothing,No,No,No,No,No
between 25 and 27 years,Male,Single,Muswahili,Town,Two,Three,Yes,Protestant,Latin-Philosophy,Satisfaction (50%-69%),Master,Networking,Satisfaction (50%-69%),Catholic,University,Town,Yes,Between $500 and $1000,Parents' finances,Yes,No,No,5.0,Average,Mastery,High,No,No,After midnight,Poor,No,No,No,No,No,Yes,Nothing,Yes,Yes,Yes,Yes,No
between 25 and 27 years,Male,Single,Muswahili,Town,Two,Three,Yes,Protestant,Latin-Philosophy,Satisfaction (50%-69%),Master,Networking,Satisfaction (50%-69%),Catholic,University,Town,Yes,Between $500 and $1000,Parents' finances,Yes,No,No,5.0,Average,Mastery,High,No,No,After midnight,Poor,No,No,No,No,No,Yes,Nothing,Yes,Yes,Yes,Yes,No
between 27 and 29 years,Male,Single,Muswahili,Town,More,Two,Yes,Protestant,Biochemistry,Satisfaction (50%-69%),Master,Networking,Satisfaction (50%-69%),Catholic,College,Town,Yes,Between $500 and $1000,Parents' finances,Yes,No,No,1.0,Mastery,Mastery,Medium,No,No,Before 10 pm,Medium,Yes,No,No,Yes,Yes,Yes,Nothing,Yes,Yes,Yes,Yes,No
